author_id,text,geo,created_at,retweets,replies,likes,quote_count
1447130502427594753,@PopCrave House of Gucci #1 hit ended floplor Swift life with ease,{'place_id': '1b048abfd1dbc13f'},2021-12-08 11:09:24+00:00,0,0,0,0
1447130502427594753,@tayyolla @PopCrave House of Gucci #1 hit ended floplor Swift life with ease,{'place_id': '1b048abfd1dbc13f'},2021-12-08 11:09:17+00:00,0,0,1,0
80223644,Beyoncé head to toe Hacker project !! #gucci &amp;  #Balenciaga #Collaboration https://t.co/0gwxKaCQFc,{'place_id': '3b77caf94bfc81fe'},2021-12-08 10:47:52+00:00,0,0,0,0
2988920201,"Gucci products look like absolute fucking shit.

If their pattern had a name on Photoshop, it would be called ""Wallpaper_Found_In_1912_CatLady_Hovel""

And that's coming from a guy who basically only wears black shirts.",{'place_id': '01864a8a64df9dc4'},2021-12-08 10:47:42+00:00,0,0,1,0
2183970246,Found my next pair of Gucci’s https://t.co/70XUuXS3KB,{'place_id': '0706a21788cadb8d'},2021-12-08 10:25:53+00:00,0,0,0,0
34365991,@martinjlansdell Thanks off to the cinema later on this afternoon to see gucci,{'place_id': '639ba0c01b9a6fcc'},2021-12-08 09:45:46+00:00,0,0,0,0
26944167,Now when i saw that balenciaga with Gucci collab was hard ASF. Nobody believed me. She looks so damn good ! Good job KJ! https://t.co/M4z9qk1pHm,{'place_id': '7142eb97ae21e839'},2021-12-08 09:35:53+00:00,0,0,0,0
1582909339,"HOUSE OF GUCCI Interview | Lady Gaga Talks Acting, Singing and Her Legacy https://t.co/6z6Wyp2P0W via @YouTube 
#HouseOfGucci #LadyGaga",{'place_id': '0073b76548e5984f'},2021-12-08 08:57:18+00:00,0,0,0,0
1582909339,"Lady Gaga Interview - HOUSE OF GUCCI, Fashion, Ridley Scott https://t.co/pRpgqY7lml via @YouTube #HouseOfGucci #LadyGaga",{'place_id': '0073b76548e5984f'},2021-12-08 08:56:29+00:00,0,0,0,0
320225997,"""Now, shorty, she in the club, she dancin' for dollars
She got a thang for that Gucci, that Fendi, that Prada
That BCBG, Burberry, Dolce and Gabbana
She feed them foolish fantasies
They pay her, 'cause they want her""
#UncleWaffles ",{'place_id': '810e12ec4af983de'},2021-12-08 08:50:42+00:00,0,0,0,0
1306960322721267712,@gucci Love him in Gucci ,{'place_id': '0064261b68b40574'},2021-12-08 08:27:13+00:00,0,0,0,0
99757885,"The upshot is, she served 18 years, is estranged from her 2 daughters and reportedly earns 1.5 million dollars a year from the Gucci estate. But that’s not all.",{'place_id': '5e7737e30a23d4ba'},2021-12-08 08:06:34+00:00,0,1,2,0
99757885,"If, like me, you saw House of Gucci and were left wondering what happened to Patrizia Reggiani, I’ve been down the relevant internet rabbit hole and it is giving me LIFE.",{'place_id': '5e7737e30a23d4ba'},2021-12-08 08:06:34+00:00,1,1,4,0
185914171,Not me finding that gucci x balenciaga blazer beyonce had on…. &amp; it’s $13k ,{'place_id': '5a8a3331fa3a363a'},2021-12-08 07:17:05+00:00,0,0,0,0
22086087,@rads619 I can see the passion in you for it so that’s the most important ingredient of success. you gucci,{'place_id': '741e9df4d2522275'},2021-12-08 07:07:53+00:00,0,0,1,0
598628455,"@POTUS Make some noise for Hollywood !  #Gucci Brand Management @RSB 2016 
@KeringGroup America #Luxury ! How to be Young and Smart  YOUTH 22  @RolandLescure Diversity and Inclusion @X 

https://t.co/oTiL8Ck8UW",{'place_id': '485374deda4cf2ca'},2021-12-08 06:52:54+00:00,0,0,0,0
1111342342877769728,House of Gucci was so good wtf,{'place_id': '6a0a3474d8c5113c'},2021-12-08 06:40:10+00:00,0,0,2,0
7009662,"AFI Top 10 predictions:

Being the Ricardos 
Dune
King Richard
The Last Duel (though it could very well be House of Gucci)
Licorice Pizza
Nightmare Alley
The Power of the Dog
Red Rocket
Tick, Tick… Boom!
West Side Story",{'place_id': '0015d9147cee6907'},2021-12-08 06:23:28+00:00,0,0,4,0
730986025384878080,house of gucci was gr8,{'place_id': '1d9a5370a355ab0c'},2021-12-08 06:06:47+00:00,0,0,0,0
2278138209,Just saw Haus of Gaga I mean Gucci,{'place_id': '01a9a39529b27f36'},2021-12-08 05:42:47+00:00,0,0,1,0
435491627,House of Gucci,{'place_id': '1c69a67ad480e1b1'},2021-12-08 05:38:13+00:00,0,0,0,0
363979363,Beyoncé via Instagram. @Beyonce  GUCCI + BALENCIAGA https://t.co/IUxpqx8hJb,{'place_id': '0226f57cbba8ffbe'},2021-12-08 05:03:45+00:00,86,7,1047,20
265180891,I saw House of Gucci tonight and the only comment I have is Adam Driver was sooooo disgustingly hot in it…….,{'place_id': '01a9a39529b27f36'},2021-12-08 04:09:18+00:00,0,0,0,0
957545494150090752,Watching the house of gucci the line that hit “ I can’t stand people who steal for ego satisfaction” felt that,{'place_id': 'e0060cda70f5f341'},2021-12-08 03:40:18+00:00,0,0,0,0
50822964,I’m on the LHHATL episode when Karlie performed Louie Prada Gucci ,{'place_id': '18810aa5b43e76c7'},2021-12-08 03:30:55+00:00,0,1,1,1
961997955388657664,@kingissadd @mena_reke Nigga can't let the Gucci rest,{'place_id': '0092409a629e836c'},2021-12-08 03:14:58+00:00,0,0,0,0
1072470206101028866,Under eye bags so big ppl ask if I went to gucci,{'place_id': '9d4c71b7937a3a90'},2021-12-08 02:53:54+00:00,0,0,0,0
200228909,@GabrielleTells It’s more of a hint of faux Gucci amongst the rancid garbage piles on the sidewalks of garbage day with the essence of dying dreams at the end of the scent,{'place_id': 'a75bc1fb166cd594'},2021-12-08 02:51:00+00:00,0,1,1,0
125465170,House of Gucci was a good movie.,{'place_id': '94965b2c45386f87'},2021-12-08 02:39:24+00:00,1,0,3,0
842558272863453184,Em estado de father sun and house of Gucci,{'place_id': '68e019afec7d0ba5'},2021-12-08 02:37:53+00:00,0,0,0,0
323623879,House of Gucci no me falles!  https://t.co/ZzxGRhehcR,{'place_id': '95b8c1610ebc0395'},2021-12-08 02:35:47+00:00,0,0,5,0
1435221306396618752,"@Carrie333Carrie @parentof21 @CTULocal1 Thanks for speaking up  that cowardly union blocked me. Get ready, you'll be blocked too. They don't like people speaking against their fake narrative  there's another account they own called Janice Gucci Belt. They block too,",{'place_id': '1d9a5370a355ab0c'},2021-12-08 02:35:27+00:00,0,0,0,0
306592038,House of Gucci was such a good movie. Super sad tbh,{'place_id': '18810aa5b43e76c7'},2021-12-08 02:34:08+00:00,0,0,0,0
1254142206803415041,about to pull a bridesmaids in this Gucci store after that tea,{'place_id': '18810aa5b43e76c7'},2021-12-08 02:32:23+00:00,0,0,4,0
1256403152531849219,PRADA AND GUCCI DONT GO TOGETHER LOUIS AND DIOR I SWEAR IT GO BETTER,{'place_id': '5c43cbdfce4d3247'},2021-12-08 02:31:15+00:00,0,0,0,0
29873853,@FirewifeyOG1 Kinda off subject. But Jared Leto did a great job as Paulo Gucci. I didn't even know it was him . #HouseOfGucci,{'place_id': 'fa37e818b629e4ea'},2021-12-08 02:28:59+00:00,0,0,1,0
1078038466032656384,Gonna go see house of gucci tomorrow,{'place_id': '70707114a9202b98'},2021-12-08 02:21:53+00:00,0,0,1,0
3135783083,@RealAlexMeneses @gucci @ladygaga @JaredLeto @JeremyIrons @salmahayek You look marvelous https://t.co/WfllWopA2d,{'place_id': '00a1b28251c671b8'},2021-12-08 02:17:49+00:00,0,0,1,0
940419194792955905,The Tik tok video w the Gucci store message and the man’s reaction cracks me up every single time,{'place_id': '5f4427384d1f9ddd'},2021-12-08 02:12:35+00:00,0,0,0,0
17692048,The fact that we were dressed like that while partying to Shawty Lo and big belly Gucci Mane. https://t.co/PBsfnjKBsX,{'place_id': '5c2b5e46ab891f07'},2021-12-08 02:00:24+00:00,0,0,0,0
1205669004473503744,House of Gucci ,{'place_id': '9d8ae4b0fac2036a'},2021-12-08 01:48:28+00:00,0,0,1,0
1427055882425315333,Bloody Mary verses ....Goddess of Gucci https://t.co/cVPsFozCQu via @YouTube,{'place_id': '5e1c91065bc30991'},2021-12-08 01:32:12+00:00,0,0,0,0
