author_id,text,geo,created_at,retweets,replies,likes,quote_count
826243911618277377,@PutTheCatEarsOn @BigMacKaz1 @bbitchbekah Actually i don’t bc the only context ik that in is when there is an acc w multiple ppl and they put /h for like Harry posted this or /j Janet did.   I’m guessing it means /j and /srs means serious idk  is it like rwoosh bc that ik but like i feel dumb now not knowin so pls help,,2021-12-08 11:59:47+00:00,0,1,3,0
14831274,"The Gedenkschrift for Jan-Georg Deutsch ""The Politics of Historical Memory and Commemoration in Africa"" is out.
It was edited by @CMarkThiesen @MichelleMSikes &amp; me and includes fascinating chapters by his former students incl @RouvenKunstmann @M_H_Ingiriis
https://t.co/8KFeQMHxoz",,2021-12-08 11:57:54+00:00,9,3,20,0
98653530,The actual #Wind speed at #Kite Beach it’s 16.2 km/h and gusts in #Corralejo are around 5.8 m/s,,2021-12-08 11:57:47+00:00,0,0,0,0
1418517412069056517,"@OOTDFESS YUKKK jajan sweater h&amp;m zara pull&amp;bear stradivarius bershka uniqlo hush puppies under 99k ajaaa💸🤍
shopee: https://t.co/5w8qDBBWid
instagram: https://t.co/Njrq75NZls https://t.co/zJiB2aSskB",,2021-12-08 11:56:46+00:00,0,0,0,0
381990890,When is H&amp;M planning on introducing online shopping in South Africa? This is ridiculous now,,2021-12-08 11:55:18+00:00,2,0,0,0
34785394,@NicolaKingshot2 @simonrhorse @ClaudiaBoleyn You read my reply.  Only yt supremacist believe the media lies.  You didn't watch H&amp;M interview bcos if you did you'd know that they were truthful.  Stop showing your duplicitous stupidity to the world.,,2021-12-08 11:55:02+00:00,0,1,0,0
3065736558,"I genuinely don't mind story skippers, I have a lot of raiding friends who are. H O W E V E R. if you are playing early access of an expansion, skip all the cutscenes, and then come bitch to me that your bored, I'm going to tell you you did this to yourself lol",,2021-12-08 11:54:30+00:00,0,0,0,0
1439038659232079872,@ilive4DONBELLE H&amp;m b ung suot noya n pink crop topper ?,,2021-12-08 11:54:19+00:00,0,0,1,0
1367675053517598720,"@R_kumar85 @abhayparmar9 @vinodkapri @narendramodi @ChouhanShivraj Who the hell are you to tell me to stop.
Mujhe jo bolna h m bolunga, tumko jo acha lge vo bolo vo kro.
Khud ko to kuch pta h nhi....bs pahuch jao 1000-500 sal pehle. 
The whole world is talking about going forword but some people like you are still living in the past.",,2021-12-08 11:54:18+00:00,0,1,1,0
724855293574832128,"ꕥ I'm happy that I have my family, and I'm happy that I h
👍.  
◥ ツ كؤد IخُصمI ツ ◤ IنَمٕشٕـﮯٔI""
NBF150_NBF150_

We love a love that was more https://t.co/Y2JtLHAqOL",,2021-12-08 11:54:14+00:00,8,8,8,0
981334892,#NowPlaying H&amp;M - Featured Sponsor https://t.co/UNYWft5VJi,,2021-12-08 11:54:10+00:00,0,0,0,0
1418517412069056517,"@OOTDFESS YUKKK jajan sweater h&amp;m zara pull&amp;bear stradivarius bershka uniqlo hush puppies under 99k ajaaa💸🤍
shopee: https://t.co/5w8qDBBWid
instagram: https://t.co/Njrq75NZls https://t.co/ijEp7bXUUP",,2021-12-08 11:54:05+00:00,0,0,0,0
718889611653734400,"@scruffystjohn @TheGeoffey 2. H &amp;M rightly want Privacy regarding their private lives but continue to work as Public Figures. BIG DIFFERENCE! Please stop misquoting H&amp;M. I live in the UK &amp; sections of our RightW Media still find something (mostly negative), to write. Ignoring the millions here who love H&amp;M",,2021-12-08 11:53:57+00:00,0,0,1,0
925187673521774592,"I'm not saying naman na invalid ang pag share to support against the fight about s/a, r*p*, s/h coz the intent is genuine naman if I must say. But sometimes, intention is not the only thing we should focus on but the impact as well of what we share and repost.",,2021-12-08 11:51:56+00:00,0,0,1,0
807079445110685700,@MA31586 @0Ain_ @B2iR2 @02ry0 @_Y1_H @m_lik8 @ab_zz1 @0JPmh @0MNS1 @0MNS4 @0MNS5 @f_s_786 @MNS__5 @Abeef_1 @Shag14_ @NSC__01 @shab785 @FA36586 @NA38586 @Haadii_N @0MNS14 @doc_1978 @Sania523 @MA34586 @Sana_S_Z @Sh_k1212 @SHD_1969 @Dr_GRA786 @Asimsh123 @Pakghazi20 Thanks,,2021-12-08 11:50:56+00:00,1,0,2,0
1382028946754072587,"6 Winter Trends You Can Get From Zara, Nordstrom, and H&amp;M https://t.co/9kniP4SMo0",,2021-12-08 11:50:56+00:00,0,0,0,0
1185704018,heels h&amp;m ni very the beautiful but very the tak selesa 😭,,2021-12-08 11:50:45+00:00,0,1,0,0
3005856741,@BusiswaGibson Wait a minute didn't H&amp;M get a real ration of shite for renovating their 1 home that was badly in need of updating? Didn't they pay the money back...yet Bulliam and Mumbles have 3 on the tax payers dime and not a sound from the BT?,,2021-12-08 11:50:36+00:00,0,2,21,0
4104059001,"Can H&amp;M influencers in South Ah push H&amp;M to have an online site, yintoni na sana 🙂",,2021-12-08 11:50:13+00:00,7,0,8,0
